2490624,180
2491776,236
2492928,226
2494080,195
2495232,210
2496384,1827
2497536,1726
2498688,2787
2499840,2293
2500992,2182
2502144,2550
2503296,2370
2504448,2269
2505600,2040
2506752,1875
2507904,1546
2509056,1441
2510208,1552
2511360,1907
2512512,1771
2513664,1444
2514816,1111
2515968,1039
2517120,1523
2518272,1333
2519424,1543
2520576,1099
2521728,2734
2522880,2737
2524032,2672
2525184,1237
2526336,1358
2527488,1178
2528640,841
2529792,872
2530944,381
2532096,157
2533248,177
2534400,202
2535552,2093
2536704,946
2537856,106
2539008,129
2540160,133
2541312,168
2542464,121
2543616,118
2544768,122
2545920,153
2547072,149
2548224,189
2549376,164
